text,label
event u strike syria russian replace weapon immediately theyve said record theyve suggested might even replace better stuff,fake
give proposed economic stimulus plan perspective started day jesus christ born spent million every day since still wouldnt spent trillion,real
warmer mar part united state canada polar vortex,fake
health insurance plan member congress different federal employee united state government,real
he promising four year administration push privatization social security,fake
radio marti tv marti spent million reach less percent cuban population,real
there plan senate democrat white house replace sequester,fake
however took million oregon lottery fund port newport eventually land new noaa marine operation centerpacific,real
percent ablebodied people state maine dont work,fake
small business create percent job america,real
gov chris christie caused percent increase property tax marking highest increase since,real
know cant pull truth matter started today would take one year one year get troop physically iraq logistically,real
say lamar smith sponsored bill funded obamacare,fake
hispanic unemployment ticking alltime high percent policy weve implemented,fake
look result obamacare see emergency room visit percent,fake
georgia spends fewer tourism advertising dollar state south,real
ive created job,fake
lyme disease one fastest growing infectious disease united state rhode island secondhighest incidence disease country,real
people become citizen dream act turn sponsor illegal immigrant parent legalization,real
stock market better democratic president white house,real
buffett rule bring less billion per year enough pay one week interest national debt,real
state covered smaller percentage cost k education,real
spent percent gdp infrastructure project like interstate highway today spend less percent gdp vital investment,real
ive never supported payroll tax,fake
recent report premium medicare payroll withholding paying half program financially solvent,real
asked email made public none would public arena,fake
republican national convention super bowl time four,fake
bill nelson deciding vote health care law,fake
less percent percent american population given amount federal political campaign,fake
one person average day murdered philadelphia,real
obama went pakistan could traveling u citizen,fake
say obama administration invited russia syria,fake
went back obesity rate existed back medicare system several year could save much trillion dollar,fake
one taken custody feeding homeless,real
gang increased percent since president elected,real
say gov scott walker caused wisconsin lose job state country,real
u rep paul ryan sean duffy reid ribble shutting town hall meeting making constituent pay attend,fake
jebs policy florida helped lead almost total collapse,fake
large number uninsured earn year,real
ninetyfour percent small business face higher tax democrat plan,fake
march first time human history monthly average carbon dioxide atmosphere exceeded part per million range part per million hundred thousand year,real
city milwaukee us building inspection area revenue base,fake
senator jeff plale saved job others bucyrus international,fake
assault weapon handgun allowed state capitol bullhorn trumpet helium balloon flag pole banned,real
anybody who trying cross street seen sign say stop pedestrian crosswalk bill passed,real
road construction bid coming lowest modern era,fake
first time history wisconsin government job manufacturing job,real
milwaukee county board staff grew four worker four decade cost taxpayer lot total county workforce cut half period,real
say unemployment would percent people quit looking work included federal labor force calculation,real
percent time smart gun wont work,fake
trillion spent antipoverty program enough give every single poor american check,real
say rick perry pay play politics led send million offshore call center bermuda driving enrollment childrens health insurance,fake
sequester effect federal government still funding study duck penis,real
usual hillary dems trying rig debate major nfl game,fake
attempt find thing like crime criminal activity indictment filtered google favor hillary clinton,fake
emergency room account percent health care spending,real
say mitt romneys carried interest income tax trick,fake
florida alone billion year spent health care criminal justice illegal immigrant,fake
barack obama would apply job fbi secret service would disqualified past association william ayers,fake
say patrick murphy never worked cpa never small business owner,fake
student attempt suicide every year college campus,real
say hillary clinton state department blocked investigation orlando killer mosque,fake
congressman john lewis american hero made allegation sarah palin somehow associated worst chapter american history senator obama didnt repudiate remark,real
said mother fight health insurance company treatment preexisting condition,fake
director fbi said cannot figure syrian refugee intention information dont contact syrian government people ground able determine,real
say mitt romneys response crisis auto industry let detroit go bankrupt,real
new energy standard take away freedom choice selection light bulb home,fake
georgia loses million dollar revenue people go state buy firework,real
say crime rising manchester gone percent mayor ted gatsas,real
say stimulus bill sent tax credit overseas half billion electric car company created hundred job finland,fake
family four make year still get subsidy health insurance new federal health care law,real
sea level rise six foot due climate change waterplace park providence wickford village would swamped,real
without financial resource provided hunter protect habitat stop poacher would infrastructure wildlife management,fake
stimulus money went office upgrade politician,fake
fracturing horizontally fracturing shale open larger pocket natural gas used year well fracked ohio,real
rhode island generous unemployment compensation rate compared state,real
daraprim still underpriced relative peer,fake
say he never asked inflationary budget increase budget milwaukee county sheriff,fake
since florida passed stand ground law death due selfdefense jumped percent,real
july government said small business percent lose health care percent big business large percentage individual health,fake
u trillion unfunded liability,fake
say mitt romney support plan slowly gradually raise retirement age social security,real
went back obesity rate existed would save medicare system trillion dollar,fake
say mitt romney governor massachusetts th job creation,real
last year exxonmobil made billion profit guess paid zero tax got million refund irs,fake
study shown absence federal reproductive health fund going see level abortion georgia increase percent,real
slavery still allowable wisconsin law long punishment crime,real
say debbie wasserman schultz voted huge subsidy sugar industry well delay cleanup,real
tried pay trillion handing per second would take year,real
past eight year united state reduced total carbon pollution nation earth,real
koch brother spending money either democratic republican party election,fake
republican election platform actually written help former lobbyist aig former lobbyist exxonmobil,real
wisconsin economic development corp cannot account creating one single job,fake
reason even college point politician said know start college,fake
credit agency say rep gibbs recklessly caused downgrade higher interest rate,fake
say accidental villain batman movie named bane,fake
every day oil continues pour gulf mexico even disaster coast richard burr voted let big oil hook,real
say gov scott walker hasnt done public event entire year,fake
fox changed around poll eligibility criterion day announced debate,real
federally licensed gun dealer license revoked youve engaged misconduct entire inventory prevailing law deemed personal collection sell free background check,real
spending caught u debt soon eclipse entire size national economy,real
democrat give newport homeless get poll,real
obama used million federal money emmigrate sic hamas refugee usa,fake
say marco rubio opposes abortioneven case rape incest,real
every year first coast guard district save life northeast,real
say eric cantor coauthor house gop principle immigration reform new york time washington postsaid thatcaptured essence senate immigration bill,real
say ellen rosenblum said job percent job government lawyer,real
say often appeared oreilly factorand often praised bybilloreilly,real
dont earmark ive never done one im going one,real
poverty rate amongst woman worst year extreme poverty rate worst ever,real
six georgia county lawyer,real
since eight child georgia died due vehicular heatstroke,real
say yearold girl recently raped austin texas guy previously caught four time released,real
obama charge percent tax home sale,fake
top wellpaid ceo america received combined million average american worker wage rose percent,real
martha kanter dispatched corvallis million stimulus money save craig robinson job,fake
percent registered democrat new th congressional district come old district,real
romneycare sent cost spiraling control massachusetts hiking premium squeezing household budget,fake
engaged nationbuilding afghanistan,real
say security foreign enemy act would pause resettlement syrian refugee united state,real
know statistically take sat second time one third people take sat even theyve studying get lower score first time around,real
say state new collective bargaining law effectively eliminates police union ability negotiate,real
alternative minimum taxwas created congress affect wealthy american never indexed inflation original taxpayer increased affect million,real
building wall usmexico border take literally year,real
since alone obama administration allowed criminal alien return back united state community individual encountered identified immigration custom enforcement detained processed deportation wouldnt politically correct,real
obamacare last two year health care premium gone true theyve gone slower time last year,fake
created net new job since taking office,real
american died gun united state since battlefield war american history,real
say ted cruz wanted let syrian refugee give amnesty illegal immigrant,real
new college tuition reciprocity agreement minnesota make college education affordable wisconsin resident,fake
say united state nation affords citizenship anyone born whether legally illegally,fake
st pete beach local version amendment resulted seemingly endless lawsuit decimated city legal budget forced city raise property tax rate,real
arkansas democratic congressional candidate chad causey washington dc bureaucrat,fake
say hjm bill assigned house committee,fake
city state state nation matter entire world adopted clean energy target ambitious scale,real
benzene never proven harmful,fake
